"filename", "language", "YAML", "JSON", "JavaScript", "Properties", "HTML", "Dart", "Groovy", "Markdown", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\DELL\mril\mril\lib\editing_screens\edit_additional_details_screen.dart", "Dart", 0, 0, 0, 0, 0, 599, 0, 0, 0, 0, 0, 2, 9, 610
"c:\Users\DELL\mril\mril\lib\editing_screens\edit_basic_details_screen.dart", "Dart", 0, 0, 0, 0, 0, 418, 0, 0, 0, 0, 0, 1, 16, 435
"c:\Users\DELL\mril\mril\lib\editing_screens\edit_company_details_screen.dart", "Dart", 0, 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 7, 10, 626
"c:\Users\DELL\mril\mril\lib\editing_screens\edit_educational_details_screen.dart", "Dart", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 2, 8, 339
"c:\Users\DELL\mril\mril\lib\global_stuff.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 10, 19, 124
"c:\Users\DELL\mril\mril\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 320, 40, 482
"c:\Users\DELL\mril\mril\lib\models\accounts.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\DELL\mril\mril\lib\models\employment_details.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 2, 9, 91
"c:\Users\DELL\mril\mril\lib\models\http_exceptions.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\DELL\mril\mril\lib\models\location.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 16, 10, 73
"c:\Users\DELL\mril\mril\lib\profiles\company_profile.dart", "Dart", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 1, 9, 205
"c:\Users\DELL\mril\mril\lib\profiles\freelancer_profile.dart.dart", "Dart", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 1, 11, 321
"c:\Users\DELL\mril\mril\lib\profiles\user_profile.dart", "Dart", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 5, 14, 303
"c:\Users\DELL\mril\mril\lib\providers\accounts.dart", "Dart", 0, 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 5, 30, 475
"c:\Users\DELL\mril\mril\lib\providers\admin_provider.dart", "Dart", 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 1, 10, 212
"c:\Users\DELL\mril\mril\lib\providers\auth.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 43, 16, 241
"c:\Users\DELL\mril\mril\lib\providers\details.dart", "Dart", 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 5, 28, 413
"c:\Users\DELL\mril\mril\lib\providers\email.dart", "Dart", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 5, 9, 140
"c:\Users\DELL\mril\mril\lib\providers\employment_details.dart", "Dart", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 2, 12, 133
"c:\Users\DELL\mril\mril\lib\providers\filter.dart", "Dart", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 8, 131
"c:\Users\DELL\mril\mril\lib\providers\freelance_offer.dart", "Dart", 0, 0, 0, 0, 0, 764, 0, 0, 0, 0, 0, 17, 25, 806
"c:\Users\DELL\mril\mril\lib\providers\job.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 6, 61
"c:\Users\DELL\mril\mril\lib\providers\job_business.dart", "Dart", 0, 0, 0, 0, 0, 695, 0, 0, 0, 0, 0, 13, 29, 737
"c:\Users\DELL\mril\mril\lib\providers\notification.dart", "Dart", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 7, 66
"c:\Users\DELL\mril\mril\lib\providers\previous_work.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 8, 91
"c:\Users\DELL\mril\mril\lib\providers\theme.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\DELL\mril\mril\lib\services\GPS_access_service.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Users\DELL\mril\mril\lib\services\random_object_generator.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 2, 7, 126
"c:\Users\DELL\mril\mril\lib\services\world_locations.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 6, 54
"c:\Users\DELL\mril\mril\lib\temp.dart", "Dart", 0, 0, 0, 0, 0, 3411, 0, 0, 0, 0, 0, 9, 4, 3424
"c:\Users\DELL\mril\mril\lib\temp\DictionaryHashSet.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 7, 24
"c:\Users\DELL\mril\mril\lib\temp\Neglected\AutoCompleteDictionaryTrie.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 4, 15, 121
"c:\Users\DELL\mril\mril\lib\temp\Neglected\TrieNode.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 8, 42
"c:\Users\DELL\mril\mril\lib\temp\Trie.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 28, 17, 123
"c:\Users\DELL\mril\mril\lib\temp\Vertex.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 9, 4, 24
"c:\Users\DELL\mril\mril\lib\widget\app_drawer.dart", "Dart", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 2, 7, 247
"c:\Users\DELL\mril\mril\lib\widget\email_item.dart", "Dart", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 2, 5, 100
"c:\Users\DELL\mril\mril\lib\widget\employment_details_item.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 5, 3, 72
"c:\Users\DELL\mril\mril\lib\widget\freelance_item.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 3, 42
"c:\Users\DELL\mril\mril\lib\widget\freelance_offer_item.dart", "Dart", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 2, 7, 158
"c:\Users\DELL\mril\mril\lib\widget\job_item.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 8, 6, 154
"c:\Users\DELL\mril\mril\lib\widget\nearby_words.dart", "Dart", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 2, 14, 127
"c:\Users\DELL\mril\mril\lib\widget\notification_item.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 6, 38
"c:\Users\DELL\mril\mril\lib\widget\previous_work_item.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\DELL\mril\mril\lib\widget\userItem.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 3, 42
"c:\Users\DELL\mril\mril\pubspec.yaml", "YAML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 18, 113
"c:\Users\DELL\mril\mril\web\firebase-messaging-sw.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 19
"c:\Users\DELL\mril\mril\web\index.html", "HTML", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 3, 94
"c:\Users\DELL\mril\mril\web\indexOld.html", "HTML", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 14, 6, 99
"c:\Users\DELL\mril\mril\web\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 49, 207, 15, 8, 170, 17362, 83, 13, 127, 12, 1, 1052, 876, 19975
